                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 0.6325,                 1.0162,                 0.5339,                 1.0767,                0.94395,                0.87097,                 0.9333,                0.72374,                0.93934,                0.82796,                0.89997,                0.70036,                 0.7461,                 1.3518,                0.59519,                 1.1359,              0.0011387,              0.0011387,              0.0011387
                     90,                0.65498,                 1.0609,                 0.5422,                 1.0958,                0.91651,                0.88889,                0.93808,                0.74102,                0.89022,                 0.8638,                0.90284,                0.71091,                0.73751,                 1.3458,                 0.6019,                 1.1217,              0.0011288,              0.0011288,              0.0011288
                     91,                0.62462,                0.98244,                0.51329,                 1.0737,                0.91135,                0.92117,                 0.9504,                0.74938,                0.89142,                0.89964,                0.92408,                0.72869,                0.73468,                 1.3461,                0.58012,                 1.1433,              0.0011189,              0.0011189,              0.0011189
                     92,                0.61469,                0.98921,                0.50727,                 1.0721,                 0.9171,                0.89964,                0.92752,                0.74253,                0.90205,                 0.8853,                0.90794,                0.71688,                0.73679,                 1.3885,                0.58455,                 1.1451,               0.001109,               0.001109,               0.001109
                     93,                0.64035,                0.97281,                0.52707,                 1.0756,                0.92288,                0.90075,                0.93825,                0.76186,                 0.8961,                0.89645,                0.92531,                0.73733,                0.72133,                 1.3453,                0.57271,                 1.1271,              0.0010991,              0.0010991,              0.0010991
                     94,                0.63731,                 1.0045,                0.54924,                 1.0873,                0.92739,                0.86738,                0.92756,                0.73222,                0.91543,                0.85663,                0.90202,                0.70961,                0.76763,                 1.3362,                 0.6068,                  1.169,              0.0010892,              0.0010892,              0.0010892
                     95,                0.62089,                 1.0156,                0.51098,                 1.0673,                0.92549,                0.89045,                0.92731,                0.74861,                0.91313,                0.86738,                0.90275,                0.73001,                0.73816,                 1.4692,                0.54634,                 1.1502,              0.0010793,              0.0010793,              0.0010793
                     96,                 0.6011,                0.95876,                0.49555,                 1.0672,                0.93999,                0.87814,                0.91089,                0.73098,                0.92063,                0.86022,                0.88722,                0.70606,                0.74264,                 1.4261,                0.58916,                  1.143,              0.0010694,              0.0010694,              0.0010694
                     97,                0.62595,                 1.0111,                0.52794,                 1.0821,                0.92984,                0.90257,                0.92624,                0.73613,                0.90406,                0.87812,                0.90511,                0.72164,                0.77675,                 1.4042,                0.64036,                 1.1741,              0.0010595,              0.0010595,              0.0010595
                     98,                0.61253,                0.97392,                0.52151,                 1.0704,                0.92147,                0.88318,                0.91884,                0.73555,                0.91645,                0.87455,                0.90634,                0.70197,                0.72411,                 1.4343,                0.61484,                 1.1068,              0.0010496,              0.0010496,              0.0010496
                     99,                0.61522,                0.99094,                 0.5016,                 1.0808,                0.91692,                 0.8703,                0.92126,                0.73628,                0.90618,                0.85305,                0.90367,                0.71825,                0.74889,                    1.3,                0.61878,                 1.1269,              0.0010397,              0.0010397,              0.0010397
                    100,                0.63325,                0.98544,                0.51327,                 1.0769,                 0.9125,                0.89707,                0.92593,                0.73815,                0.89508,                0.88678,                0.90403,                 0.7195,                0.75178,                 1.2639,                0.61403,                 1.1335,              0.0010298,              0.0010298,              0.0010298
                    101,                0.62003,                0.96889,                0.49241,                 1.0698,                0.93189,                 0.8827,                0.91767,                0.73517,                0.93355,                0.87097,                0.90185,                0.71481,                0.77158,                 1.2629,                0.63551,                 1.1584,              0.0010199,              0.0010199,              0.0010199
                    102,                0.59795,                0.97063,                0.50024,                 1.0693,                0.92401,                0.89247,                0.93267,                0.75537,                0.91872,                0.86738,                 0.9152,                0.73005,                0.73821,                 1.3242,                0.57819,                 1.1027,                0.00101,                0.00101,                0.00101
                    103,                0.60394,                0.96575,                0.49565,                 1.0535,                0.95308,                0.87375,                0.92631,                0.75266,                0.93778,                0.86428,                0.90372,                0.73046,                 0.7101,                 1.3575,                0.60656,                   1.11,              0.0010001,              0.0010001,              0.0010001
                    104,                0.60524,                0.92756,                0.48783,                 1.0723,                0.93868,                0.90323,                0.93731,                0.75875,                0.94244,                0.87455,                0.92333,                0.73653,                0.73893,                 1.3318,                 0.5517,                 1.1311,              0.0009902,              0.0009902,              0.0009902
                    105,                0.57836,                0.90475,                0.46335,                 1.0591,                0.93298,                0.86738,                 0.9188,                0.73971,                0.92513,                0.86022,                0.89804,                0.72368,                0.72173,                 1.3183,                0.63828,                 1.1195,              0.0009803,              0.0009803,              0.0009803
