                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.66809,                0.49188,                0.42006,                0.93346,                0.98028,                 0.9727,                0.99272,                0.86424,                0.96246,                0.95377,                0.96808,                0.57204,                0.54284,                0.25911,                0.30255,                0.91048,             0.00098394,             0.00098394,             0.00098394
                     46,                0.67265,                0.48662,                0.42361,                0.93588,                0.98059,                0.97305,                0.99131,                0.87153,                0.95949,                0.95164,                0.96115,                0.57391,                0.52467,                0.25766,                0.30089,                0.90831,             0.00097775,             0.00097775,             0.00097775
                     47,                0.66433,                0.47093,                0.41202,                0.93442,                 0.9745,                0.99045,                0.99297,                0.87702,                0.96741,                0.98283,                0.98621,                0.57412,                0.54082,                0.25319,                0.29526,                0.91256,             0.00097156,             0.00097156,             0.00097156
                     48,                0.65352,                0.47793,                 0.4035,                0.92585,                0.97803,                0.97321,                0.99167,                0.87697,                0.97036,                0.96512,                0.98504,                0.56051,                0.52808,                0.25758,                0.29198,                0.90681,             0.00096537,             0.00096537,             0.00096537
                     49,                0.65164,                0.47805,                0.40608,                 0.9272,                0.95349,                0.99163,                0.99178,                0.87807,                0.93968,                0.97554,                0.96801,                0.58132,                0.51655,                0.24994,                0.28399,                0.90211,             0.00095919,             0.00095919,             0.00095919
                     50,                0.64263,                0.46623,                0.40013,                0.92437,                0.95612,                 0.9702,                0.98829,                 0.8774,                0.95166,                0.96364,                 0.9828,                0.58427,                0.52139,                 0.2492,                0.29566,                0.89999,               0.000953,               0.000953,               0.000953
                     51,                0.63913,                0.45761,                0.39424,                0.92696,                0.96637,                0.98746,                0.98837,                0.87355,                0.95072,                0.97003,                0.96152,                0.58055,                0.50732,                0.24593,                0.28819,                 0.9001,             0.00094681,             0.00094681,             0.00094681
                     52,                0.63327,                0.46401,                0.38808,                0.91733,                0.97063,                0.98388,                0.98739,                 0.8765,                0.95881,                0.97174,                  0.974,                0.56057,                0.52794,                0.25397,                0.29177,                0.90537,             0.00094062,             0.00094062,             0.00094062
                     53,                0.62183,                0.46435,                0.38693,                0.91765,                0.97685,                0.98342,                0.99309,                0.88676,                0.96004,                0.96674,                0.97064,                0.59064,                0.50247,                0.24725,                0.27858,                0.89769,             0.00093444,             0.00093444,             0.00093444
                     54,                0.63506,                0.46316,                 0.3913,                0.92048,                0.97221,                0.99147,                0.99199,                0.88548,                0.96651,                0.98421,                0.98515,                0.57621,                0.50955,                0.24959,                0.28775,                0.89761,             0.00092825,             0.00092825,             0.00092825
